ID,Date,Service,Company,Parent,Location,Amount,Contract_ID,Text,Link
47,2/11/2014,U.S. TRANSPORTATION COMMAND,Alliance Contractor Team,Multiple,Leesburg Va.,"$635,517,611 ",HTC711-13-D-CC01,"Two contract modifications are being awarded under firm-fixed-price contracts for international airlift services. The Alliance Contractor Team, Leesburg, Va., is being awarded an estimated $635,517,611 modification (P00019) to previously awarded contract HTC711-13-D-CC01. Team members include: American Airlines, Inc., Fort Worth, Texas; North American Airlines, Inc., Jamaica, N.Y.; US Airways, Inc., Phoenix, Ariz.; and World Airways, Inc., Peachtree City, Ga. The Patriot Team, Tulsa, Okla., is being awarded an estimated $804,788,084 modification (P00010) under previously awarded contract HTC711-13-D-CC04. Team members include: ABX Air Inc., Wilmington, Ohio; JetBlue Airways Corp., Long Island City, N.Y.; Kalitta Air LLC, Ypsilanti, Mich.; Northern Air Cargo, Anchorage, Alaska; Omni Air International Inc., Tulsa, Okla.; Sky Lease I, Greensboro, N.C.; Southern Air, Inc., Norwalk, Conn.; United Airlines Inc., Elk Grove Village, Ill.; and United Parcel Service, Louisville, Ky. Work will be performed at worldwide locations and is expected to be completed Sept. 30, 2014. Fiscal 2014 transportation working capital funds are being obligated on individual task orders. The contracting activity is U.S. Transportation Command, Directorate of Acquisition, Scott Air Force Base, Ill.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5222
48,2/12/2014,AIR FORCE,Sallyport Global Services (part of KS International,KS International LLC,LLC) McLean Va.,"$215,000,000 ",FA8615-14-C-6021,"Sallyport Global Services (part of KS International, LLC), McLean, Va., has been awarded a $215,000,000 firm-fixed-price, undefinitized contract action for Iraq base renovation and reconstruction of key facilities at Balad Air Base, Iraq, in support of the upcoming arrival of F-16 aircraft in September 2014. Work will be performed at Balad Air Base, Iraq, and is expected to be completed by June 2015. This award is the result of a sole-source acquisition. This requirement is 100 percent foreign military sales for the government of Iraq. Air Force Life Cycle Management Center/WWMK, Wright-Patterson Air Force Base, Ohio, is the contracting activity (FA8615-14-C-6021).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5223
49,2/12/2014,AIR FORCE,The Boeing Co.,Boeing Co.,St. Louis Mo.,"$51,233,782 ",FA8634-12-C-2651,"The Boeing Co., St. Louis, Mo., has been awarded a $51,233,782 firm-fixed-price modification (P00023) to an existing firm-fixed-price contract (FA8634-12-C-2651) for the procurement of integration of additional weapons, integration of ARC-210 RT 1990 Gen 5 radios, and integration of Honeycomb structure to the aircraft on the F-15SA aircraft for the Royal Saudi Air Force. Work will be performed at St. Louis, Mo., and will be completed by Feb. 29, 2020. Foreign military sales funds for Saudi Arabia in the amount of $19,835,000 are being obligated at time of award. The Air Force Life Cycle Management Center, Wright-Patterson Air Force Base, Ohio, is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5223
50,2/12/2014,AIR FORCE,Lockheed Martin Corp.,Lockheed Martin Corp.,Lockheed Martin Aeronautics Co. Fort Worth Texas,"$16,814,091 ",FA8611-08-C-2897,"Lockheed Martin Corp., Lockheed Martin Aeronautics Co., Fort Worth, Texas, has been awarded a $16,814,091 bilateral modification (P00171) for an existing firm-fixed-price, cost-plus-fixed-fee contract (FA8611-08-C-2897) for engineering change proposal (ECP) 0533, follow-on agile sustainment for the F-22 Raptor, Reliability and Maintainability Maturation Program Project AF100 Acceleration Plan. This effort is to procure retrofit kits that will provide a more durable material for the actuated doors on the bottom of the aircraft to improve availability of the aircraft. ECP 0533 is the first of two phases to incorporate the new material on the doors and panels of the aircraft. Work will be performed at Fort Worth, Texas, and is expected to be complete by September 2016. Fiscal 2013 aircraft procurement funds in the amount of $16,814,091 are being obligated at time of award. Air Force Life Cycle Management Center/WWUK, Wright-Patterson Air Force Base, Ohio, is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5223
51,2/12/2014,ARMY,Honeywell International Inc.,Honeywell International Inc.,Tempe Ariz.,"$9,943,752 ",SPM4A1-11-G-0010,"Honeywell International Inc., Tempe, Ariz., was awarded a $9,943,752 modification (P00004) to firm-fixed-price, sole-source, indefinite-delivery/indefinite-quantity contract W911N2-13-D-0011 to exercise option year one for the purchase of 58 (estimated) gas turbine engines to support the Aviation Ground Power Unit reset at Letterkenny Army Depot. Funding and performance location will be determined with each order. The estimated completion date is Feb. 14, 2015. The U.S. Army Contracting Command-Letterkenny Army Depot, Chambersburg, Pa., is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5223
52,2/12/2014,ARMY,HNTB Corp.,HNTB Corp.,Kansas City Mo.,"$9,500,000 ",W912DQ-14-D-1000,"HNTB Corp., Kansas City, Mo., was awarded a $9,500,000 firm-fixed-price ?«ˇArchitect and Engineering?«÷ indefinite-delivery/indefinite-quantity contract for civil works and military projects throughout the Corps of Engineers and environmental projects throughout the Kansas City district of the Corps of Engineers. Funding and performance location will be determined with each order. The contract was solicited via the Web with 11 bids received. The estimated completion date is Feb. 11, 2019. The U.S. Army Corps of Engineers-Kansas City District, Kansas City, Kan., is the contracting activity (W912DQ-14-D-1000).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5223
53,2/12/2014,DEFENSE LOGISTICS AGENCY,Fujifilm SonoSite Inc.,SonoSite Inc.,Bothell Wash.,"$39,672,731 ",SPM2D1-09-D-8339,"Fujifilm SonoSite Inc., Bothell, Wash., has been awarded a maximum $39,672,731 modification (P00104) exercising the fifth option year on a one-year base contract (SPM2D1-09-D-8339) with seven one-year option periods for radiology systems, subsystems and components. This is a fixed-price with economic-price-adjustment contract. Location of performance is Washington with a Feb. 18, 2015 performance completion date. Using military services are Army, Navy, Air Force, Marine Corps, and federal civilian agencies. Type of appropriation is fiscal 2014 through fiscal 2015 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pa.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5223
54,2/12/2014,DEFENSE LOGISTICS AGENCY,Tullahoma Industries Inc.*,Tullahoma Industries Inc.,Tullahoma Tenn.,"$9,201,000 ",SPM1C1-12-D-1024,"Tullahoma Industries Inc.*, Tullahoma, Tenn., has been awarded a maximum $9,201,000 modification (P00102) exercising the second option year on a one-year base contract (SPM1C1-12-D-1024) with two one-year option periods for universal camouflage pattern jackets. This is a firm-fixed-price contract. Locations of performance are Tennessee and Alabama with a Feb. 15, 2015 performance completion date. Using military service is Army. Type of appropriation is fiscal year 2014 through fiscal year 2015 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pa.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5223
55,2/12/2014,DEFENSE LOGISTICS AGENCY,Honeywell International Inc.,Honeywell International Inc.,Minneapolis Minn.,"$8,642,970 ",SPM4A1-11-G-0010,"Honeywell International Inc., Minneapolis, Minn., has been awarded a maximum $8,642,970 firm-fixed-price contract for inertial navigation units. This contract is a sole-source acquisition. Location of performance is Minnesota with a May 31, 2016 performance completion date. Using military service is Navy. Type of appropriation is fiscal 2014 defense working capital funds. The contracting activity is the Defense Logistics Agency Maritime, Mechanicsburg, Pa., (SPM4A1-11-G-0010-1002).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5223
56,2/12/2014,NAVY,"Statistical Research Inc.*, Tucson, Ariz. (N62473-14- D-1412); Far Western Anthropological Research Group Inc.*, Davis, Calif. (N62473-14- D-1413); Ultra Systems Environmental Inc.*, Irvine, Calif. (N62473-14- D-1414); ASM Affiliates Inc.*, Carlsbad, Calif. (N62473-14- D-1415), and Tierra Environmental Services Inc.*, San Diego, Calif. (N62473-14- D-1416)",Multiple,Multiple,"$50,000,000 ",N62473-14- D-1412,"Statistical Research Inc.*, Tucson, Ariz. (N62473-14- D-1412); Far Western Anthropological Research Group Inc.*, Davis, Calif. (N62473-14- D-1413); Ultra Systems Environmental Inc.*, Irvine, Calif. (N62473-14- D-1414); ASM Affiliates Inc.*, Carlsbad, Calif. (N62473-14- D-1415), and Tierra Environmental Services Inc.*, San Diego, Calif. (N62473-14- D-1416), are each being awarded a firm-fixed-price, indefinite-delivery/indefinite-quantity, multiple-award contract for cultural resources services at various locations within the Naval Facilities Engineering Command (NAVFAC) Southwest area of responsibility (AOR) and other locations nationwide. ·The maximum dollar value including the base period and four option years for all five contracts combined is $50,000,000. ·The work to be performed provides for the contractors to furnish all labor, management, supervision, tools, materials, travel, lodging/subsistence, equipment, and transportation to provide cultural resources related studies, investigations, preparation of historic and archaeological documents, and implementation of plans in accordance with Sections 106 and 110 of the National Historic Preservation Act of 1966, as amended. ·These five contractors may compete for task orders under the terms and conditions of the awarded contract. ·No task orders are being issued at this time. ·All work on this contract will be performed primarily within the NAVFAC Southwest AOR which includes California (94 percent), Arizona (1 percent), Colorado (1 percent), Nevada (1 percent), New Mexico (1 percent), and Utah (1 percent). ·Work may also be performed in the remainder of the continental U.S. (1 percent). ·The term of the contract is not to exceed 60 months with an expected completion date of February 2019. ·Fiscal 2014 operations and maintenance, Navy contract funds in the amount of $25,000 are obligated on this award and will expire at the end of the current fiscal year. ·This contract was competitively procured via the Federal Business Opportunities website, with seven proposals received. ·The Naval Facilities Engineering Command, Southwest, San Diego, Calif., is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5223
57,2/12/2014,NAVY,Sealaska Environmental Services LLC*,Sealaska Environmental Services LLC,Juneau Alaska,"$30,794,172 ",N44255-14-D-9011,"Sealaska Environmental Services LLC*, Juneau, Alaska, is being awarded a maximum amount $30,794,172 indefinite-delivery/indefinite-quantity contract for long term monitoring, operations, and maintenance environmental remediation services for facilities in the Naval Facilities Engineering Command Northwest areas of responsibility. Task order 0001 is being awarded at $421,091 for operation and maintenance of two environmental remediation systems located at Naval Base Kitsap, Silverdale, Wash. Work for this task order is expected to be completed by March 2015. Work on this contract will be performed at various installations including but not limited to Washington (75 percent), Alaska (21 percent), Idaho (1 percent), Montana (1 percent), Oregon (1 percent), and Wyoming (1 percent). The term of the contract is not to exceed 60 months with an expected completion date of March 2019. Fiscal 2014 operations and maintenance, Navy contract funds in the amount of $421,091 are obligated on this award and will expire at the end of the current fiscal year. The contract was competitively procured via the Navy Electronic Commerce Online website, with six proposals received. The Naval Facilities Engineering Command, Northwest, Silverdale, Wash., is the contracting activity (N44255-14-D-9011).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5223
58,2/12/2014,NAVY,The Boeing Co.,Boeing Co.,St Louis Mo.,"$18,977,907 ",N68335-10-G-0012,"The Boeing Co., St Louis, Mo., is being awarded $18,977,907 for firm-fixed-price delivery order 0050 against a previously issued basic ordering agreement (N68335-10-G-0012) for procurement of major structural repair and maintenance equipment for the F/A-18E/F and EA-18G aircraft. Work will be performed in St. Louis, Mo., and is expected to be completed in January 2018. Fiscal 2013 aircraft procurement, Navy funds in the amount of $18,977,907 will be obligated at time of award, none of which will expire at the end of the current fiscal year. The Naval Air Warfare Center Aircraft Division, Lakehurst, N.J., is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5223
59,2/12/2014,NAVY,L-3 Communications Vertex Aerospace LLC,L-3 Communications Holdings Inc.,Madison Miss.,"$6,530,626 ",N00019-14-D-0015,"L-3 Communications Vertex Aerospace LLC, Madison, Miss., is being awarded a $6,530,626 indefinite-delivery/indefinite-quantity, firm-fixed-price contract for maintenance and logistics services in support of the KC-130J aircraft for the government of Kuwait under the Foreign Military Sales Program. Work will be performed at Al Mubarak Airbase, Kuwait, and is expected to be completed in August 2015. Foreign military sales funds in the amount of $6,530,626 are being obligated on this award, none of which will expire at the end of the current fiscal year. This contract was competitively procured via an electronic request for proposals; four offers were received. The Naval Air Systems Command, Patuxent River, Md., is the contracting activity (N00019-14-D-0015).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5223
60,2/14/2014,AIR FORCE,AAR Manufacturing,AAR Corp.,Inc. doing business as AAR Mobility Systems Cadillac Mich.,"$133,024,408 ",FA8519-14-D-0002,"AAR Manufacturing, Inc., doing business as AAR Mobility Systems, Cadillac, Mich., has been awarded a $133,024,408 indefinite-delivery/indefinite-quantity contract for the repair and production of 463L cargo pallets. Work will be performed at Cadillac, Mich., and is expected to be complete by Feb. 13, 2016. This award is the result of a competitive trade-off source selection acquisition, and five offers were received. Fiscal 2014 and 2015 operations and maintenance funds coming from the Transportation Working Capital Fund (TWCF) and Centralized Asset Management Fund (CAM) will be utilized on each order issued against this IDIQ contract. Air Force Life Cycle Management Center/WNKBBA, Robins Air Force Base, Ga., is the contracting activity (FA8519-14-D-0002).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
61,2/14/2014,AIR FORCE,COLSA Corp.,Colsa Corp.,Huntsville Ala.,"$55,705,947 ",FA9200-10-D-0166,"COLSA Corp., Huntsville, Ala., has been awarded a $55,705,947 indefinite-delivery/indefinite-quantity modification (19) on an existing firm-fixed-price contract (FA9200-10-D-0166) for technical and acquisition management support services. This modification is for the exercise of an option for additional diverse non-engineering, technical and acquisition management support services being provided under the basic contract. Work will be performed at Eglin Air Force Base, Fla., and is expected to be completed by Feb. 28, 2015. The current action relates to unclassified foreign military sales only and countries include Australia, Belgium, Chile, Denmark, Egypt, Finland, Germany, Greece, Israel, Japan, Korea, Kuwait, Malaysia, Netherlands, Norway, Oman, Pakistan, Poland, Portugal, Saudi Arabia, Singapore, Spain, Taiwan, Turkey, and United Arab Emirates. Air Force Test Center/PZZ, Eglin AFB, Fla., is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
62,2/14/2014,AIR FORCE,Oasis Systems,Oasis Systems LLC,LLC Lexington Mass.,"$55,705,947 ",FA9200-10-D-0173,"Oasis Systems, LLC, Lexington, Mass., has been awarded a $55,705,947 modification (22) for an existing firm-fixed-price contract (FA9200-10-D-0173) for technical and acquisition management support services. This modification is for the exercise of an option for additional diverse non-engineering, technical and acquisition management support services being provided under the basic contract. Work will be performed at Eglin Air Force Base, Fla., and is expected to be completed by Feb. 28, 2015. The current action relates to 100 percent unclassified foreign military sales only and countries include Australia, Belgium, Chile, Denmark, Egypt, Finland, Germany, Greece, Israel, Japan, Korea, Kuwait, Malaysia, Netherlands, Norway, Oman, Pakistan, Poland, Portugal, Saudi Arabia, Singapore, Spain, Taiwan, Turkey, and United Arab Emirates. Air Force Test Center/PZZ is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
63,2/14/2014,AIR FORCE,Lockheed Martin Corp.,Lockheed Martin Corp.,Lockheed Martin Information Systems and Global Solutions Gaithersburg Md.,"$16,421,355 ",FA8726-09-C-0006,"Lockheed Martin Corp., Lockheed Martin Information Systems and Global Solutions, Gaithersburg Md., has been awarded a $16,421,355 modification (P000064) for an existing cost-plus-incentive-fee contract (FA8726-09-C-0006)for Global Broadcast Service (GBS) Defense Enterprise Computing Center (DEC C) Software Sustainment and GBS Operations Center (GBSOC) Operations. This contract modification adds software sustainment to maintain the GBS DECC software baseline and provide personnel to staff the GBSOC 24 hours a day, seven days a week, 365 days a year in support of worldwide GBS operations. Work will be performed in Gaithersburg, Md., and Colorado Springs, Colo., and is expected to be completed by Dec. 31, 2015. Fiscal 2014 research and development funds in the amount of $788,648 and operations and maintenance funds in the amount of $9,542,004 are being obligated at time of award. Air Force Life Cycle Management Center/HNAK, Hanscom Air Force Base, Mass., is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
64,2/14/2014,ARMY,Jacobs Field Services North America Inc.,Jacobs Engineering,Oak Ridge Tenn.,"$45,000,000 ",W912WJ-14-D-0002,"Jacobs Field Services North America Inc., Oak Ridge, Tenn., has been awarded a $45,000,000 cost-plus-fixed-fee contract for interim Remedial Action Contract for the New Bedford Harbor Superfund Site. The base year and two six-month option periods will be exercised at the time of award. Funding is from fiscal year 2013 other appropriations. The performance location is New Bedford, Mass., with an estimated completion date of Aug. 13, 2015. One bid was solicited and one received. The U.S. Army Corps of Engineers ?«Ù New England District, Concord, Mass., is the contracting activity (W912WJ-14-D-0002).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
65,2/14/2014,ARMY,Northrop Grumman Systems Corporation,Northrop Grumman Corp.,Herndon Va.,"$12,430,650 ",W52P1J-14-C-0021,"Northrop Grumman Systems Corporation, Herndon, Va., has been awarded a $12,430,650 firm-fixed-price contract for Spectrum Monitoring Subsystem to be installed at U.S. Army Remote Monitor Control Equipment locations. Funding is from fiscal year 2013 and 2014 other procurement Army appropriations. The performance location is Herndon, Va., with an estimated completion date of Feb. 13, 2016. One bid was solicited and one received. The U.S. Army Contracting Command ?«Ù Rock Island Arsenal, Rock Island, Ill., is the contracting activity (W52P1J-14-C-0021).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
66,2/14/2014,ARMY,Plateau Software,Plateau Software Inc.,Inc.* Issaquah Wash.,"$9,000,000 ",W91278-14-D-0018,"Plateau Software, Inc.*, Issaquah, Wash., has been awarded a $9,000,000 firm-fixed-price, sole-source, indefinite-delivery/indefinite-quantity contract for support and maintenance of existing information technology systems that support the Environmental Protection and Sustainment program. Funding and performance location will be determined with each order. The estimated completion date is Feb. 12, 2017. One bid was solicited and one received. The U.S. Army Corps of Engineers ?«Ù Mobile District, Mobile, Ala., is the contracting activity (W91278-14-D-0018).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
67,2/14/2014,ARMY,AMERICAN ORDNANCE LLC,American Ordnance LLC,Milan Tenn.,"$7,547,742 ",W52P1J-09-G-0001,"AMERICAN ORDNANCE LLC, Milan, Tenn., has been awarded a $7,547,742 cost-plus-fixed-fee contract for calendar year 2014 care, maintenance and surveillance of field service stocks and packaging, crating and handling of field service stocks at Milan Army Ammunition Plant. Funding is from fiscal year 2014 operations and maintenance Army appropriations. Work is to be performed at Milan, Tenn., with an estimated completion date of Dec. 31, 2014. One bid was solicited with one received. The U.S. Army Contracting Command ?«Ù Rock Island Arsenal, Rock Island, Ill., is the contracting activity (W52P1J-09-G-0001).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
68,2/14/2014,DEFENSE FINANCE AND ACCOUNTING SERVICE,CACI,CACI International Inc.,Inc. - Federal Chantilly Va.,"$10,803,390 ",HC1028-08-D-2016,"CACI, Inc. - Federal, Chantilly, Va., is being awarded a $10,803,390 modification to previously awarded firm-fixed-price contract (HC1028-08-D-2016-9R01) to provide on-site operational support to the mission systems of the Office of the Under Secretary of Defense (Comptroller) in the areas relating to system maintenance, system conversion and migration, report generation and documentation, training and guidance on the Comptroller Mission Systems as well as service desk and network operations. This contract modification exercises the fourth option year of",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
69,2/14/2014,DEFENSE LOGISTICS AGENCY,Lockheed Martin Corp.,Lockheed Martin Corp.,Owego N.Y.,"$30,814,317 ",SPRWA1-13-D-2000,"Lockheed Martin Corp., Owego, N.Y., has been awarded a maximum $30,814,317 firm-fixed-price contract for receiver transmitters. This contract is a sole-source acquisition. This is a four-year base contract with no option year periods. Location of performance is New York with a Feb. 28, 2018 performance completion date. Using military service is Navy. Type of appropriation is fiscal 2014 Navy working capital funds. The contracting activity is the Defense Logistics Agency Aviation, Philadelphia, Pa., (SPRWA1-13-D-2000-THAC).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
70,2/14/2014,DEFENSE LOGISTICS AGENCY,Lockheed Martin,Lockheed Martin Corp.,Orlando Fla.,"$16,584,869 ",SPRPA1-14-C-W009,"Lockheed Martin, Orlando, Fla., has been awarded a maximum $16,584,869 firm-fixed-price contract for turret assemblies. This contract is a sole-source acquisition. This is a 31-month base contract with no option year periods. Location of performance is Florida with a Sep. 30, 2016 performance completion date. Using military service is Navy. Type of appropriation is fiscal 2014 through fiscal 2016 Navy working capital funds. The contracting activity is the Defense Logistics Agency Aviation, Philadelphia, Pa., (SPRPA1-14-C-W009).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
71,2/14/2014,NAVY,"Sierra Nevada Corp., Sparks, Nev. (M67854-14-D-2521) and Northrop Grumman Corp., Herndon, Va. (M67854-14-D-2522)",Multiple,Multiple,"$90,000,000 ",M67854-14-D-2521,"Sierra Nevada Corp., Sparks, Nev. (M67854-14-D-2521) and Northrop Grumman Corp., Herndon, Va. (M67854-14-D-2522) are each being awarded a firm-fixed-price, indefinite-delivery/indefinite-quantity multiple award contract for the counter radio-controlled improvised explosive device (IED) electronic warfare Marine Expeditionary Unit Special Operation capable (CREW MEU (SOC), dismounted systems. ·The CREW MEU (SOC) program addresses an urgent and compelling need for a capability to counter the threat posed by IEDs. ·The maximum ceiling for both contracts is $90,000,000, with the two contractors having an opportunity to compete for individual orders under the terms and conditions of the awarded contracts throughout the 60-month ordering period of the contracts. ·The contractors will deliver five initial production systems each for testing under the first delivery orders and the remaining 360 production systems and contract requirements will be competed for each subsequent delivery order. ·Work will be performed in Sparks, Nev. and Herndon, Va., and work is expected to be completed in February 2019. ·Fiscal 2013 procurement Marine Corps contract funds in the total amount of $11,008,795 will be obligated at the time of award and will not expire at the end of the current fiscal year. · These contracts are the result of a full and open competition solicitation via the Federal Business Opportunities website, with two offers received. ·Marine Corps Systems Command, Quantico, Va., is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
72,2/14/2014,NAVY,BAE Systems Norfolk Ship Repair,BAE Systems Plc,Norfolk Va.,"$56,967,490 ",N00024-11-C-4403,"BAE Systems Norfolk Ship Repair, Norfolk, Va., is being awarded a $56,967,490 undefinitized contract action as a modification to a previously awarded contract (N00024-11-C-4403) for USS Monterey (CG 61) fiscal 2014 extended drydocking selected restricted availability. An extended drydocking selected restricted availability includes the planning and execution of depot-level maintenance, alterations, and modifications that will update and improve the ship's military and technical capabilities. Work will be performed in Norfolk, Va., and is expected to be completed by January 2015. Fiscal 2014 operations & maintenance, Navy funds in the amount of $44,959,750 will be obligated at time of award and will expire at the end of the current fiscal year. Norfolk Ship Support Activity, Norfolk, Va., is the administrative contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
73,2/14/2014,NAVY,Navmar Applied Sciences Corp.,Navmar Applied Sciences Corp.,* Warminster Pa.,"$44,695,815 ",N68335-14-C-0131,"Navmar Applied Sciences Corp.,* Warminster, Pa., is being awarded a $44,695,815 cost-plus-fixed-fee, firm-fixed-price contract for a Phase III Small Business Innovation Research (SBIR) effort in support of the Copperhead Unmanned Air Systems, specifically Tigershark Unmanned Aerial Vehicle (UAV). This project is for the improvement of sensor and platform capabilities, expansion to additional detachments and sustainment of current detachments. This contract includes continued improvements of the Tigershark UAV airframe, incorporation of improved sensors, and integration of improved command and control systems to current and future Copperhead platforms. Work will be performed in Afghanistan (50 percent); Patuxent River, Md. (25 percent); and Yuma, Ariz. (25 percent), and is expected to be completed in December 2014. Fiscal 2014 operation and maintenance, Army funds in the amount of $21,000,000 are being obligated on this award, all of which will expire at the end of the current fiscal year. This Phase III SBIR contract was not competitively procured pursuant to 10 U.S.C. 2304(c)(5). The Naval Air Warfare Center Aircraft Division, Lakehurst, N.J., is the contracting activity (N68335-14-C-0131).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
74,2/14/2014,NAVY,Raytheon Co.,Raytheon Co.,McKinney Texas,"$9,522,446 ",N68836-13-C-0084,"Raytheon Co., McKinney, Texas, is being awarded a $9,522,446 modification to a previously awarded firm-fixed-price contract (N68836-13-C-0084) for the full design, manufacture, and installation of test equipment, associated testing, and training to standup an organic depot maintenance facility to support the AN/APY-10 Radar. Work will be performed in Jacksonville, Fla., and work will be completed by March 31, 2016. Fiscal 2013 aircraft procurement, Navy funds in the amount of $9,522,446 will be obligated at the time of award, and will not expire at the end of this current fiscal year. This contract was not competitively procured in accordance with 10 U.S.C. 2304 (c)(1) ?«Ù only one responsible source and no other supplies or services will satisfy agency requirements.  NAVSUP Fleet Logistics Center, Jacksonville, Fla., is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5224
75,2/18/2014,ARMY,EADS-NA,Airbus SAS,Herndon Va.,"$22,856,085 ",W58RGZ-06-C-0194,"EADS-NA, Herndon, Va., was awarded a $22,856,085 modification (P00766) to contract W58RGZ-06-C-0194 to acquire four UH-72A Lakota helicopters with engine inlet barrier filters and ARC-231 radios. Fiscal 2014 other procurement, Army funds in the amount of $22,856,085 were obligated at the time of the award. Estimated completion date is March 31, 2015. Work will be performed in Columbia, Miss. Army Contracting Command, Redstone Arsenal, Ala., is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5225
76,2/18/2014,ARMY,Jacobs/Stantec,Jacobs Engineering,Fort Worth Texas,"$9,500,000 ",W912QR-14-D-0005,"Jacobs/Stantec, Fort Worth, Texas, was awarded a $9,500,000 firm-fixed-price contract for architectural and engineering services for Army, Air Force, and other military and civil works projects primarily within the Great Lakes and Ohio River Division boundaries. Funding and performance location will be determined with each order. Estimated completion date is Feb. 17, 2019. One bid was solicited with one received. Army Corps of Engineers, Louisville, Ky., is the contracting activity (W912QR-14-D-0005).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5225
77,2/18/2014,DEFENSE LOGISTICS AGENCY,Combat Medical Systems LLC*,Combat Medical Systems LLC,Fayetteville N.C.,"$36,396,530 ",SPE2D0-14-D-0001,"Combat Medical Systems LLC*, Fayetteville, N.C., has been awarded a maximum $36,396,530 fixed-price with economic-price-adjustment, indefinite-delivery/indefinite-quantity contract for various medical and surgical surge, re-supply, and sustainment materials. This contract is a competitive acquisition, and four offers were received. This is a one-year base contract with nine one-year option year periods. Location of performance is North Carolina with a Feb. 17, 2015 performance completion date. Using military services are Army, Navy, Air Force, Marine Corps, and federal civilian agencies. Type of appropriation is fiscal 2014 war-stopper funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pa., (SPE2D0-14-D-0001).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5225
78,2/18/2014,DEFENSE LOGISTICS AGENCY,Eye Safety Systems Inc.,Eye Safety Systems Inc.,Ketchum Idaho,"$9,804,328 ",SPM2DE-11-D-7549,"Eye Safety Systems Inc., Ketchum, Idaho, has been awarded a maximum $9,804,328 modification (P00004) exercising the third option year on a one-year base contract (SPM2DE-11-D-7549) with four one-year option periods for prescription lens carriers. This is a fixed-price, indefinite-delivery/indefinite-quantity contract. Location of performance is Idaho with a March 2, 2015 performance completion date. Using military services are Army, Navy, Air Force, Marine Corps and federal civilian agencies. Type of appropriation is fiscal 2014 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pa.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5225
79,2/19/2014,ARMY,Raptor Training Services,Raptor Training Services LLC,LLC Orlando Fla.,"$97,800,000 ",W900KK-14-D-0001,"Raptor Training Services, LLC, Orlando, Fla., was awarded a $97,800,000 indefinite-delivery/indefinite-quantity, firm-fixed-price contract for Special Operations Forces requirements analysis, prototyping, training, operations and rehearsal and for operations and maintenance training support. Funding and performance location will be determined with each order. Estimated completion date is Feb. 12, 2019. Bids were solicited via the Internet with sixteen received. Army Program Executive Office Simulation, Training & Instrumentation, Orlando, Fla. is the contracting activity (W900KK-14-D-0001). (Awarded Feb.13, 2014)",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5226
